The first Thanksgiving was celebrated by Native Americans and what other group of people?, Pilgrims, Cowboys, Vikings
From which country did Mexico gain its independence in the 19th century?, Spain, France, Germany
Which language is the mostly widely spoken in South America?, Spanish, Japanese, Russian
Which war was fought between the north and south regions in the United States?, The Civil War, Spanish American War, World War I
What city was the first to be attacked by an atomic bomb? Hiroshima, London, New York
Writing instrument people used to write with during the Middle Ages?, Quill, Brush, Pen
Julius Caesar was the emperor of what empire?, The Roman Empire, Chinese Empire, Romulan Empire
The first fireworks were invented in the 7th century in what country?, China, Russia, America
The ancient Egyptian writing system was called what?, Hieroglyphics, Icons, Glyphs
The Battle of Gettysburg was fought in which war?, The Civil War, World War II, Roman War
The plural of MOOSE is?, Moose, Meese, Maus
How many letters are in the English alphabet?, 26, 36, 24
What is the term for a word that is similar in meaning to another word?, Synonym, Antonym, Polyglotyl
What type of literature features magical creatures?, Fairy Tales, Mystery, Romance
Is RED an adjective or a noun?, Both, Adjective, Noun
What is the term for a word that has the opposite meaning of another word?, Antonym, Synonym, Polyglotyl
What is the person in a novel who tells the story from a third-person perspective called?, Narrator, Antagonist, Protagonist
The main series of events in a story is called a what?, The Plot, The Story, The Villian
What is the main character in a story called?, Protagonist, Narrator, Antagonist
Who is the creator of the classic book characters Tom Sawyer and Huckleberry Finn?, Mark Twain, Stephen King, William Shakeapear
How many continents are there?, 7, 8, 9
In which country are the famous Pyramids of Giza?, Egypt, Alaska, Austriala
How many states are in the United States of America?, 50, 48, 52
Which state is called the Lone Star state?, Texas, Alaska, Florida
In what state is the Grand Canyon located?, Arizona, Colorado, New York
In what country is the famous Taj Mahal located?, India, Africa, Russia
What is the longest river in the world?, The Amazon, The Nile, The Rio Grand
Where is the largest desert in the world located?, Northern Africa, America, Austriala
What is the southernmost continent called?, Antarctica, Canada, Iceland
Which country is both an island and a continent?, Australia, Africa, Japan
What is H2O also known as?, Water, Oxygen, Light
What gas is in the air we breathe?, Oxygen, Zenon, Argon
What gas do plants breathe in that humans and animals breathe out?, Carbon Dioxide, Oxygen, Argon
Earth is located in what galaxy?, The Milky Way, Jupiter, Spinning
What is the closest planet to the sun?, Mercury, Neptune, Venus
What planet is nicknamed the Red Planet?, Mars, Jupiter, Saturn
Animals that eat only meat are known as what?, Carnivores, Meat Eaters, Vegans
How many days does it take Earth to revolve once around the sun?, 365 days, 1 Year, 12 Months
Animals without backbones are known as?, Invertebrates, Arthrapods, Amphibians
What species can live on both water and land?, Amphibians, Insects, Mammals
What is the area of a triangle with a height of 4 and a width of 4?, 8, 16, 24
Solve the following equation: 3 + 2 / 1 = ?, 5, 6, 10
What number is the Roman numeral XVI?, 16, 15, 56
A hexagon has how many sides?, 6, 8, 10